Importing module 'gym_38' (/home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.0.1
Device count 1
/home/ubuntu/jrWork/isaacgym/python/isaacgym/_bindings/src/gymtorch
ninja: no work to do.
[Warning] [carb.gym.plugin] useGpu is set, forcing single scene (0 subscenes)
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
Setting seed: 2300
Loading low-level model from logs/low/2025-06-22-15-47-03/nn/model_10000.pth
[Target] R=5.46, theta=-0.49 rad, target=(4.82, -2.56)
[RewardDebug] dist=5.027, robot_speed=0.440, robot_align=0.061, ball_speed=0.000, ball_align=0.000, r_robot=0.018, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.008
[RewardDebug] dist=5.027, robot_speed=0.404, robot_align=0.298, ball_speed=0.000, ball_align=0.000, r_robot=0.089, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.079
[RewardDebug] dist=5.027, robot_speed=0.589, robot_align=0.736, ball_speed=0.000, ball_align=0.000, r_robot=0.221, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.211
[RewardDebug] dist=5.027, robot_speed=0.855, robot_align=0.847, ball_speed=0.000, ball_align=0.000, r_robot=0.254, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.244
[RewardDebug] dist=5.027, robot_speed=0.448, robot_align=0.853, ball_speed=0.000, ball_align=0.000, r_robot=0.256, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.246
[RewardDebug] dist=5.027, robot_speed=0.697, robot_align=0.971, ball_speed=0.000, ball_align=0.000, r_robot=0.291, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.281
[RewardDebug] dist=5.027, robot_speed=0.585, robot_align=0.914, ball_speed=0.000, ball_align=0.000, r_robot=0.274, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.264
[RewardDebug] dist=5.027, robot_speed=0.330, robot_align=0.675, ball_speed=0.000, ball_align=0.000, r_robot=0.203, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.193
[RewardDebug] dist=5.027, robot_speed=0.405, robot_align=0.753, ball_speed=0.000, ball_align=0.000, r_robot=0.226, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.216
[RewardDebug] dist=5.027, robot_speed=0.511, robot_align=0.620, ball_speed=0.000, ball_align=0.000, r_robot=0.186, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.176
[RewardDebug] dist=5.027, robot_speed=0.575, robot_align=0.546, ball_speed=0.000, ball_align=0.000, r_robot=0.164, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.154
[RewardDebug] dist=5.027, robot_speed=0.655, robot_align=0.531, ball_speed=0.000, ball_align=0.000, r_robot=0.159, r_touch=0.0, r_succ=0.0, fallen_penalty=0.0, total=0.149
